Distance,Lat,Lon,Owner,AddressName
"95.72713025144927","-41.86611500","-73.83111300","Municipalidad de Ancud","Lord Cochrane "
"95.76775075062159","-41.87619000","-73.82505000","Municipalidad de Ancud","Plazoleta Bellavista"
"95.77766238002248","-41.87672000","-73.82483000","Municipalidad de Ancud","Cecosf Bellavista"
"95.83175148294289","-41.87631300","-73.82583100","Municipalidad de Ancud","Comandante Godoy s\/n"
"96.24529340641517","-42.15320000","-73.53930000","Municipalidad de Quemchi","Sector R\u00edo Negro"
"96.27175979383706","-41.87710500","-73.83123500","Municipalidad de Ancud","Rodolfo Schulbach con Magallanes S\/N"
"96.30733736077865","-41.87814300","-73.83102400","Municipalidad de Ancud","Rosa Barria Vitto"
"96.48686204654592","-41.87817000","-73.83342600","Municipalidad de Ancud","Alberto blest Gana"
"96.55460518630404","-41.87994000","-73.83316000","Municipalidad de Ancud","Sede Solidaridad"
"96.76919995662648","-41.88110000","-73.83528000","Municipalidad de Ancud","Plaza Solidaridad"
"97.87667847914221","-42.09827100","-73.64680200","Municipalidad de Ancud","Sector aguas Buenas"
"98.63828446880727","-42.27320000","-73.35110000","Municipalidad de Quemchi","Quicavi 1"
"99.30783014795814","-42.25910000","-73.40170000","Municipalidad de Quemchi","Iglesia de Colo"
